composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,87,90,contour,0
max_steiner,The Adventures of Don Juan Suite,Sword_motif,contour,1.0,401,407,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,exact,1.0,301,304,interval,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,244,247,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,215,218,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,207,210,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,106,109,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,101,104,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,94,97,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,85,88,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,77,80,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,71,74,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,68,71,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,62,65,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,50,53,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,1,4,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,exact,1.0,168,171,interval,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,96,99,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,4,7,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,21,24,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,26,29,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,43,46,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,49,52,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,68,71,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,83,86,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,100,103,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,106,109,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,123,126,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,contour,1.0,128,131,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Ride_motif,contour,1.0,35,40,contour,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Ride_motif,contour,1.0,137,142,contour,0
ennio_morricone,Cinema Paradiso (Morricone),SwirlingBlaze_motif,contour,1.0,126,131,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,250,253,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,259,262,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,339,342,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,265,268,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,259,262,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,192,195,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,187,190,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,183,186,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,158,161,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,155,158,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,128,131,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,125,128,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,121,124,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,63,66,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,58,61,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,54,57,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,35,38,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,21,24,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,7,10,contour,0
ennio_morricone,Cinema Paradiso (Morricone),Mime_motif,contour,1.0,92,95,contour,0
ennio_morricone,Cinema Paradiso (Morricone),Mime_motif,contour,1.0,105,108,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Sword_motif,contour,1.0,375,381,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Sword_motif,contour,1.0,306,312,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Sword_motif,contour,1.0,120,126,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Sword_motif,contour,1.0,37,43,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,SwirlingBlaze_motif,contour,1.0,187,192,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,SiblingsLove_motif,contour,1.0,58,64,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Ride_motif,contour,1.0,471,476,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,418,421,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Mime_motif,contour,1.0,392,395,contour,0
max_steiner,King Kong March – Max Steiner,Mime_motif,contour,1.0,159,162,contour,0
max_steiner,King Kong March – Max Steiner,Mime_motif,contour,1.0,240,243,contour,0
max_steiner,King Kong March – Max Steiner,Mime_motif,contour,1.0,133,136,contour,0
ennio_morricone,Malena by Ennio Morricone _ Viola and piano,Ring_motif,contour,1.0,27,34,contour,0
john_williams,The Tale of Viktor Navorski (John Williams),Sword_motif,contour,1.0,246,252,contour,0
